split_id,firm,y_true,rating,p_a,p_b
1,E1,0,A,0.033332335992727447,0.09895295050178445
1,E106,0,B,0.3142631784982883,0.07212805275106957
1,E113,1,D,0.8723329329414719,0.8151142897839792
1,E117,1,D,0.7428005378178411,0.8151142897839792
1,E120,1,D,0.9762039366688605,0.8151142897839792
1,E121,1,D,0.6578782178191692,0.8151142897839792
1,E16,0,A,0.1352211278531878,0.04332515474999784
1,E18,0,A,0.13390583140496276,0.04332515474999784
1,E19,0,A,0.07748817628757097,0.04027265773622726
1,E21,0,B,0.0780436971273033,0.06357509201665612
1,E22,0,A,0.09162188849209345,0.04027265773622726
1,E27,0,A,0.1176326892749618,0.05918413803491086
1,E30,0,B,0.12378543745196079,0.06825582100469435
1,E31,0,A,0.09201593421028233,0.05918413803491086
1,E32,0,B,0.19364835212992024,0.04027265773622726
1,E48,0,A,0.12128711351854586,0.05918413803491086
1,E54,0,A,0.09598696600890885,0.04027265773622726
1,E61,0,B,0.10591458930564154,0.05918413803491086
1,E62,0,B,0.22730500626329167,0.04027265773622726
1,E64,0,A,0.14276286591369436,0.04027265773622726
1,E76,0,B,0.23177369640837944,0.04027265773622726
1,E79,0,B,0.30995437932415604,0.07212805275106957
1,E8,0,A,0.058332310596790976,0.04027265773622726
1,E82,1,D,0.37423463368558846,0.8151142897839792
1,E98,0,B,0.2649777012025811,0.07212805275106957
2,E102,1,D,0.6277510468145027,0.8129138906986427
2,E104,0,C,0.44246091798660575,0.14217156872249542
2,E109,1,D,0.5548607852701005,0.8129138906986427
2,E112,1,D,0.6057710806669035,0.8129138906986427
2,E114,1,D,0.6176425624557353,0.8129138906986427
2,E14,0,C,0.13336873280455605,0.038169590042746934
2,E20,0,B,0.10989743661387325,0.04919636405172629
2,E3,0,C,0.0663325892382614,0.038169590042746934
2,E36,1,D,0.18427213470622741,0.8129138906986427
2,E40,0,C,0.16673583733171463,0.038169590042746934
2,E42,0,A,0.24080359151998454,0.08048500299651137
2,E43,0,B,0.31110520465755526,0.10243433660188786
2,E44,0,C,0.12230708037306688,0.038169590042746934
2,E47,0,C,0.15383797747667805,0.038169590042746934
2,E53,0,C,0.14176888808633803,0.04919636405172629
2,E56,0,C,0.21846261281874116,0.038169590042746934
