split_id,firm,y_true,rating,p_a,p_b
1,E1,0,A,0.023347858699455017,0.17195918559985968
1,E106,0,B,0.3658227671317148,0.6918707692474565
1,E113,1,D,0.8849584971915888,0.6296736257950575
1,E117,1,D,0.7249348503191552,0.6296736257950575
1,E120,1,D,0.9774354138650717,0.7349478203083556
1,E121,1,D,0.5844042643647633,0.5479289412955329
1,E16,0,A,0.12046714692008707,0.04457996881817348
1,E18,0,A,0.1218759926627416,0.04597341864787909
1,E19,0,A,0.07026730872177656,0.09462878881005898
1,E21,0,B,0.07423480505529809,0.04841771558086719
1,E22,0,A,0.07651976800033741,0.04597341864787909
1,E27,0,A,0.11007027896663495,0.0993904734899876
1,E30,0,B,0.12038922601335869,0.1363965628326426
1,E31,0,A,0.07160926694447156,0.04670225045747353
1,E32,0,B,0.2105677141518136,0.048054968951477886
1,E48,0,A,0.10424187229734916,0.04457996881817348
1,E54,0,A,0.08656500803722254,0.04841771558086719
1,E61,0,B,0.10981452411758114,0.04695382562135676
1,E62,0,B,0.25881673407299416,0.04971127110075447
1,E64,0,A,0.12312604346487585,0.046122301785052146
1,E76,0,B,0.26735365151698165,0.046122301785052146
1,E79,0,B,0.35157619701616744,0.08234462685537161
1,E8,0,A,0.047955155049040764,0.04457996881817348
1,E82,1,D,0.27906793862558943,0.09805907043520959
1,E98,0,B,0.31096649460030623,0.245223249909335
2,E102,1,D,0.6088733851764595,0.5544231166802664
2,E104,0,C,0.4580592944866648,0.7415017947219296
2,E109,1,D,0.5302420834973434,0.7415017947219296
2,E112,1,D,0.5784489943807128,0.6432309443264512
2,E114,1,D,0.6052813696085082,0.5544231166802664
2,E14,0,C,0.14535283430260884,0.04017366736209102
2,E20,0,B,0.12958415262812573,0.05831023099061722
2,E3,0,C,0.06768197084634742,0.04017366736209102
2,E36,1,D,0.16338045723623387,0.04017366736209102
2,E40,0,C,0.17434757962339834,0.04017366736209102
2,E42,0,A,0.24227827959727335,0.10139840605982298
2,E43,0,B,0.3563304967548917,0.24135108416619916
2,E44,0,C,0.13198101371516396,0.05981414236929679
2,E47,0,C,0.17039616845887554,0.04017366736209102
2,E53,0,C,0.1483787203452067,0.048238522605547146
2,E56,0,C,0.23816483967010915,0.05361296880202209
2,E67,0,B,0.3949467034713925,0.048238522605547146
2,E75,0,C,0.13747123019521743,0.041520325248170044
2,E83,0,B,0.345894755358567,0.06985204133663055
