enterprise_id,enterprise_name,risk_oof_mean,risk_oof_sd,risk_oof_p05,risk_oof_p10,risk_oof_p50,risk_oof_p90,risk_oof_p95,risk_oof_min,risk_oof_max,risk_oof_test_count,default_label,label_spreading_oof_mean,label_spreading_oof_sd,label_spreading_oof_p05,label_spreading_oof_p10,label_spreading_oof_p50,label_spreading_oof_p90,label_spreading_oof_p95,label_spreading_oof_min,label_spreading_oof_max,label_spreading_oof_test_count,risk_difference_abs,risk_rank,label_spreading_rank,rank_difference,scope,risk_rank_spearman,top20_count,top20_overlap_count,top20_overlap_fraction_of_risk_top20,mean_abs_risk_difference,median_abs_risk_difference,max_abs_risk_difference,high_disagreement_count_threshold_0_20
E1,***电器销售有限公司,0.05655542179,0.03612124495,0.02606179021,0.02741664837,0.0477518799,0.0730491674,0.1129997547,0.02470693205,0.1529503419,10,0,0.2280160802,0.2087079441,0.03104330041,0.04074240609,0.09992958301,0.4815178756,0.4893859325,0.02134419473,0.4972539895,10,0.1714606584,104,37,-67,123_enterprise_aggregated_oof,0.6623931073,25,20,0.8,0.1245917945,0.08549875587,0.4823936031,23
E10,***建筑劳务有限公司,0.06093491817,0.01419372208,0.0429621633,0.04562064982,0.05790014235,0.07833730674,0.08357388887,0.04030367677,0.08881047099,10,0,7.424272053e-05,8.555504909e-05,1.250713654e-05,1.767738409e-05,4.496103604e-05,0.0001689325282,0.0002274658229,7.336888992e-06,0.0002859991175,10,0.06086067545,102,122,20,123_enterprise_aggregated_oof,0.6623931073,25,20,0.8,0.1245917945,0.08549875587,0.4823936031,23
E100,***装饰工程有限公司,0.2578903118,0.07353885818,0.1547415187,0.1696120448,0.2728881387,0.3416804479,0.3539310448,0.1398709925,0.3661816417,10,1,0.01227314524,0.01242417413,0.001559770571,0.002952191581,0.009835960841,0.02148517506,0.03311523541,0.0001673495601,0.04474529577,10,0.2456171665,36,85,49,123_enterprise_aggregated_oof,0.6623931073,25,20,0.8,0.1245917945,0.08549875587,0.4823936031,23
E101,***灯饰工程有限公司,0.7098560409,0.06636067132,0.606566941,0.6226011649,0.7233040273,0.7897592201,0.7930666792,0.5905327171,0.7963741383,10,1,0.8830619334,0.06098778261,0.8360997245,0.8391381391,0.849044285,0.9612307904,0.9798991752,0.83306131,0.99856756,10,0.1732058925,6,2,-4,123_enterprise_aggregated_oof,0.6623931073,25,20,0.8,0.1245917945,0.08549875587,0.4823936031,23
E102,***大药房有限责任公司,0.4733747116,0.1071223403,0.3398930688,0.3631509727,0.4627178331,0.6183651775,0.6292473672,0.316635165,0.640129557,10,1,0.5434360537,0.1882366085,0.2933975682,0.4420105029,0.5282124881,0.6758684786,0.7897711569,0.1447846334,0.9036738351,10,0.07006134212,17,20,3,123_enterprise_aggregated_oof,0.6623931073,25,20,0.8,0.1245917945,0.08549875587,0.4823936031,23
E103,***科技有限公司,0.4055458126,0.06116735136,0.3353788783,0.3362256189,0.3909445426,0.4768661053,0.4943449378,0.3345321378,0.5118237703,10,1,0.7915082513,0.2286930082,0.4457536487,0.7442293672,0.866862051,0.8871147594,0.902435939,0.1472779301,0.9177571186,10,0.3859624387,22,10,-12,123_enterprise_aggregated_oof,0.6623931073,25,20,0.8,0.1245917945,0.08549875587,0.4823936031,23
E104,***管理咨询有限责任公司,0.5371556855,0.07030320782,0.428523967,0.4342049006,0.5472322368,0.6048969633,0.6296047084,0.4228430335,0.6543124536,10,0,0.3006651721,0.1485384386,0.04661844118,0.05282100058,0.3352298526,0.428317948,0.4499748225,0.04041588178,0.471631697,10,0.2364905134,14,31,17,123_enterprise_aggregated_oof,0.6623931073,25,20,0.8,0.1245917945,0.08549875587,0.4823936031,23
E105,***建材经营部,0.2296735143,0.05655682615,0.1637552006,0.1706427228,0.2199431128,0.3150886304,0.3194669862,0.1568676785,0.3238453419,10,0,0.0930492747,0.1340329013,0.03007908681,0.03626537957,0.04456518909,0.1501469772,0.3088574651,0.02389279404,0.4675679531,10,0.1366242396,41,49,8,123_enterprise_aggregated_oof,0.6623931073,25,20,0.8,0.1245917945,0.08549875587,0.4823936031,23
E106,***财务管理有限公司,0.25387818,0.03585121449,0.1919428,0.2023278319,0.2648881791,0.2861266308,0.2917865745,0.1815577681,0.2974465182,10,0,0.09452712366,0.1765532616,0.0008111931073,0.0008766525114,0.02021873855,0.3586503592,0.429206069,0.0007457337033,0.4997617788,10,0.1593510564,37,48,11,123_enterprise_aggregated_oof,0.6623931073,25,20,0.8,0.1245917945,0.08549875587,0.4823936031,23
E107,***科技有限公司,0.6278756036,0.06417500548,0.5279189832,0.5523567172,0.6366742873,0.6820972821,0.6979720246,0.5034812493,0.7138467672,10,1,0.8440274798,0.09367304123,0.7332415369,0.782680428,0.827381452,0.9982166838,0.9986876919,0.6838026457,0.9991586999,10,0.2161518762,8,5,-3,123_enterprise_aggregated_oof,0.6623931073,25,20,0.8,0.1245917945,0.08549875587,0.4823936031,23
