enterprise_id,enterprise_name,true_rating,true_rating_code,rating_test_count,rating_prob_A,rating_prob_B,rating_prob_C,rating_prob_D,predicted_rating
E1,***电器销售有限公司,A,0,10,0.9625708222,0.03269452056,0.004397759905,0.0003368973459,A
E10,***建筑劳务有限公司,B,1,10,0.5009000782,0.3839233464,0.1063650872,0.00881148818,A
E100,***装饰工程有限公司,D,3,10,0.02730942639,0.1679827659,0.5702107366,0.2344970711,C
E101,***灯饰工程有限公司,D,3,10,0.0006215846815,0.004911747452,0.06313806045,0.9313286074,D
E102,***大药房有限责任公司,D,3,10,0.002529299785,0.01909232552,0.1945673237,0.783811051,D
E103,***科技有限公司,D,3,10,0.009417312471,0.06431969337,0.4605460673,0.4657169268,D
E104,***管理咨询有限责任公司,C,2,10,0.003607570304,0.02814997516,0.2666579692,0.7015844853,D
E105,***建材经营部,C,2,10,0.1909760674,0.4778855031,0.2916958918,0.03944253775,B
E106,***财务管理有限公司,B,1,10,0.07287103759,0.3279574991,0.5013042824,0.09786718087,C
E107,***科技有限公司,D,3,10,0.001499597312,0.01153931891,0.1322776114,0.8546834724,D
E108,***商贸有限公司,D,3,10,0.005084462919,0.0362995353,0.2877301033,0.6708858985,D
E109,***服饰有限公司,D,3,10,0.007212300393,0.05368029881,0.3875069462,0.5516004546,D
E11,***建设工程有限公司,C,2,10,0.2362971793,0.4807733461,0.2551396608,0.0277898138,B
E110,***通讯器材经营部,C,2,10,0.02673999619,0.1542888966,0.5594200458,0.2595510614,C
E111,***科技有限公司,D,3,10,0.01490845811,0.1019733903,0.4487711519,0.4343469997,C
E112,***机械设备有限公司,D,3,10,0.0007701798706,0.006105751573,0.07930986356,0.913814205,D
E113,***美居科技有限公司,D,3,10,0.0005525457636,0.004177913079,0.05697978254,0.9382897586,D
E114,***食品有限责任公司,D,3,10,0.01763505263,0.1116758294,0.5285695233,0.3421195947,C
E115,***装饰工程有限公司,D,3,10,0.0008532707166,0.0059415292,0.07389018612,0.919315014,D
E116,***门窗有限公司,D,3,10,0.0313553631,0.1740856392,0.5421166023,0.2524423954,C
E117,***人力资源管理咨询有限公司,D,3,10,0.0003735271186,0.002762019551,0.03654813295,0.9603163204,D
E118,***体育用品有限公司,D,3,10,0.03893597002,0.2272966138,0.5580777038,0.1756897123,C
E119,***药房,D,3,10,0.001887660312,0.0138619944,0.1442497366,0.8400006087,D
E12,***建筑劳务有限公司,B,1,10,0.1812699845,0.4457633538,0.3282301988,0.04473646278,B
E120,***陈列广告有限公司,D,3,10,0.001078443625,0.00773450393,0.1081082095,0.8830788429,D
E121,***药业连锁有限公司***药店,D,3,10,0.004767724947,0.03277834243,0.3057527175,0.6567012152,D
E122,***商贸有限责任公司,D,3,10,0.01768811665,0.1054364833,0.4818951935,0.3949802065,C
E123,***创科技有限责任公司,D,3,10,0.0008178535244,0.00626169174,0.0765105116,0.9164099431,D
E13,***汽车贸易有限公司,A,0,10,0.336126861,0.4742353693,0.1726093072,0.0170284625,B
E14,个体经营E14,C,2,10,0.5687747793,0.3524970181,0.07203861078,0.006689591878,A
E15,***劳务有限公司,A,0,10,0.1545299408,0.4441621973,0.350965985,0.05034187687,B
E16,***建筑劳务有限公司,A,0,10,0.5887530656,0.3276011427,0.0768408708,0.00680492086,A
E17,***消防工程有限公司,A,0,10,0.3482689948,0.4650155254,0.168534096,0.01818138383,B
E18,***消防工程有限责任公司,A,0,10,0.3294477003,0.4747030948,0.1783938185,0.01745538641,B
E19,***科技有限公司,A,0,10,0.9187750991,0.06938395368,0.01105666232,0.0007842849282,A
E2,***技术有限责任公司,A,0,10,0.5583577717,0.3567838831,0.07764535022,0.007212994921,A
E20,***贸易有限公司,B,1,10,0.4324123541,0.4295258348,0.1268817313,0.01118007975,A
E21,***建设工程有限公司,B,1,10,0.1567795478,0.4304281096,0.3636798097,0.0491125329,B
E22,***物流有限公司,A,0,10,0.3277391721,0.4761221002,0.1792238804,0.01691484726,B
E23,***贸易有限公司,B,1,10,0.8030335635,0.1671649431,0.02753726804,0.002264225313,A
E24,***建筑工程有限公司,A,0,10,0.4034907567,0.4511957385,0.1330214463,0.01229205845,B
E25,***通讯设备有限公司,C,2,10,0.2568643751,0.5030845515,0.2179012177,0.02214985569,B
E26,***金属材料有限公司,A,0,10,0.6810935006,0.2650931933,0.04962755163,0.004185754466,A
E27,***农业开发有限公司,A,0,10,0.6942022724,0.2561712427,0.04600961407,0.003616870876,A
E28,***景观工程有限公司,B,1,10,0.243897696,0.4899850066,0.2376883659,0.02842893147,B
E29,***建筑劳务有限公司,C,2,10,0.378128644,0.46550228,0.1419580636,0.01441101242,B
E3,***电子(中国)有限公司***分公司,C,2,10,0.7304837101,0.2251122208,0.0411528812,0.003251187901,A
E30,***建筑工程有限公司,B,1,10,0.4301841502,0.421041228,0.1358336286,0.01294099325,A
E31,***食品有限公司,A,0,10,0.7492082049,0.2140078951,0.0338308689,0.002953031086,A
E32,***建筑劳务有限公司,B,1,10,0.136662457,0.427743446,0.389071764,0.04652233293,B
E33,***园林有限责任公司,B,1,10,0.2383105363,0.4843287181,0.2479199893,0.02944075624,B
E34,***建设工程有限公司,B,1,10,0.1323954854,0.3738633571,0.4251516446,0.06858951286,C
E35,***商贸有限公司,B,1,10,0.2948262703,0.4750595818,0.2097161861,0.02039796181,B
E36,***超硬材料有限公司,D,3,10,0.3249953372,0.4785469245,0.1816761775,0.01478156076,B
E37,***木业有限公司,B,1,10,0.6694898205,0.2739924532,0.0518685638,0.004649162548,A
E38,***建设工程有限公司,B,1,10,0.09387744918,0.3863787888,0.4478329354,0.07191082663,C
