enterprise_id,enterprise_name,label_spreading_oof_mean,label_spreading_oof_sd,label_spreading_oof_p05,label_spreading_oof_p10,label_spreading_oof_p50,label_spreading_oof_p90,label_spreading_oof_p95,label_spreading_oof_min,label_spreading_oof_max,label_spreading_oof_test_count,default_label
E1,***电器销售有限公司,0.2280160802,0.2087079441,0.03104330041,0.04074240609,0.09992958301,0.4815178756,0.4893859325,0.02134419473,0.4972539895,10,0
E10,***建筑劳务有限公司,7.424272053e-05,8.555504909e-05,1.250713654e-05,1.767738409e-05,4.496103604e-05,0.0001689325282,0.0002274658229,7.336888992e-06,0.0002859991175,10,0
E100,***装饰工程有限公司,0.01227314524,0.01242417413,0.001559770571,0.002952191581,0.009835960841,0.02148517506,0.03311523541,0.0001673495601,0.04474529577,10,1
E101,***灯饰工程有限公司,0.8830619334,0.06098778261,0.8360997245,0.8391381391,0.849044285,0.9612307904,0.9798991752,0.83306131,0.99856756,10,1
E102,***大药房有限责任公司,0.5434360537,0.1882366085,0.2933975682,0.4420105029,0.5282124881,0.6758684786,0.7897711569,0.1447846334,0.9036738351,10,1
E103,***科技有限公司,0.7915082513,0.2286930082,0.4457536487,0.7442293672,0.866862051,0.8871147594,0.902435939,0.1472779301,0.9177571186,10,1
E104,***管理咨询有限责任公司,0.3006651721,0.1485384386,0.04661844118,0.05282100058,0.3352298526,0.428317948,0.4499748225,0.04041588178,0.471631697,10,0
E105,***建材经营部,0.0930492747,0.1340329013,0.03007908681,0.03626537957,0.04456518909,0.1501469772,0.3088574651,0.02389279404,0.4675679531,10,0
E106,***财务管理有限公司,0.09452712366,0.1765532616,0.0008111931073,0.0008766525114,0.02021873855,0.3586503592,0.429206069,0.0007457337033,0.4997617788,10,0
E107,***科技有限公司,0.8440274798,0.09367304123,0.7332415369,0.782680428,0.827381452,0.9982166838,0.9986876919,0.6838026457,0.9991586999,10,1
E108,***商贸有限公司,0.6213053657,0.3255456162,0.1771407249,0.3209805194,0.5536989601,0.9601881965,0.9686103742,0.03330093033,0.977032552,10,1
E109,***服饰有限公司,0.6206337195,0.08742016377,0.4810799568,0.4990651584,0.6535995953,0.7123423413,0.7161896215,0.4630947551,0.7200369017,10,1
E11,***建设工程有限公司,0.01335849905,0.01720673901,0.005178685592,0.005298252305,0.007738873126,0.02045045447,0.04096950681,0.00505911888,0.06148855915,10,0
E110,***通讯器材经营部,0.9823930127,0.008567735059,0.9689672807,0.9734342638,0.9831056523,0.9894700311,0.993430021,0.9645002976,0.997390011,10,0
E111,***科技有限公司,0.1324215575,0.1335200096,0.0008044976514,0.001551716036,0.1156449533,0.2423358512,0.3155197082,5.727926698e-05,0.3887035652,10,1
E112,***机械设备有限公司,0.04345516616,0.04418540069,0.005952002862,0.0101702233,0.02836349954,0.1175763133,0.1217782088,0.001733782421,0.1259801042,10,1
E113,***美居科技有限公司,0.6737549338,0.1706440373,0.4603236611,0.5099368815,0.6573828421,0.9426615781,0.9560141455,0.4107104408,0.969366713,10,1
E114,***食品有限责任公司,0.4195693384,0.1241908796,0.2376577429,0.2733819835,0.4280933125,0.5211431271,0.573115789,0.2019335023,0.6250884509,10,1
E115,***装饰工程有限公司,0.7315377322,0.1472927183,0.5524215042,0.6186757469,0.7335686432,0.9668340159,0.9671734567,0.4861672616,0.9675128975,10,1
E116,***门窗有限公司,0.6070968503,0.1307166964,0.42945602,0.4653130649,0.6429079168,0.7064352237,0.7718780979,0.393598975,0.8373209721,10,1
E117,***人力资源管理咨询有限公司,0.853343901,0.07320487305,0.7811713804,0.7907780969,0.8377635842,0.9688795322,0.9841299872,0.7715646638,0.9993804422,10,1
E118,***体育用品有限公司,0.02915984397,0.01309300837,0.01233665904,0.02293251477,0.02862916021,0.03472017233,0.04561662393,0.001740803316,0.05651307552,10,1
E119,***药房,0.5979442621,0.13929337,0.4670864725,0.4756706735,0.5919713363,0.6519254759,0.8048079285,0.4585022715,0.9576903811,10,1
E12,***建筑劳务有限公司,0.004718551622,0.006081791933,0.001140795794,0.001319172651,0.00252345121,0.007036418518,0.01425942285,0.0009624189375,0.02148242719,10,0
E120,***陈列广告有限公司,0.840821778,0.08867857629,0.754483648,0.7563144649,0.8086298912,0.9990694004,0.9990948075,0.7526528312,0.9991202145,10,1
E121,***药业连锁有限公司***药店,0.5127464613,0.06686232906,0.4400161312,0.4463505739,0.5124895696,0.5769197445,0.6143911998,0.4336816885,0.6518626551,10,1
E122,***商贸有限责任公司,0.0003323419888,0.000386756009,1.876622949e-05,2.061255885e-05,0.0002345078466,0.0005820248469,0.0009695279702,1.691990013e-05,0.001357031094,10,1
E123,***创科技有限责任公司,0.8352189027,0.06629070572,0.7566767181,0.7572146226,0.8361734398,0.8580465158,0.9280987314,0.7561388136,0.9981509469,10,1
E13,***汽车贸易有限公司,0.01367319744,0.01094449738,6.852656957e-06,1.128718376e-05,0.01603202721,0.02240659153,0.02709657919,2.41813015e-06,0.03178656686,10,0
E14,个体经营E14,0.000847708293,0.0004459200423,0.0002147536534,0.0004285144583,0.0009231181371,0.001119049847,0.00140528375,9.928485103e-07,0.001691517654,10,0
E15,***劳务有限公司,0.09155904981,0.03862353638,0.02493626694,0.04865729267,0.1034272211,0.1215668651,0.1235573802,0.001215241209,0.1255478954,10,0
E16,***建筑劳务有限公司,0.0007569527315,0.0003970346744,0.0003005608378,0.0003686291593,0.0007297886427,0.00110452306,0.001351510487,0.0002324925163,0.001598497913,10,0
E17,***消防工程有限公司,0.0002147614449,0.0001556587067,8.665111359e-05,0.0001008338401,0.0001805316045,0.0003192688249,0.0004696158205,7.246838711e-05,0.000619962816,10,0
E18,***消防工程有限责任公司,0.003704699001,0.003800523086,2.498601076e-07,3.129681886e-07,0.00288926035,0.008353439227,0.009323481682,1.867520266e-07,0.01029352414,10,0
E19,***科技有限公司,0.0003039938602,0.0004172673405,3.783674244e-05,4.368322022e-05,0.0001351749493,0.0009560548022,0.001090342471,3.199026465e-05,0.00122463014,10,0
E2,***技术有限责任公司,0.01356925374,0.00469687667,0.006850799,0.008785147424,0.01450138034,0.01826895234,0.01879609407,0.004916450576,0.0193232358,10,0
E20,***贸易有限公司,0.001453512535,0.002748678338,1.962362381e-05,2.086801905e-05,0.0003305028481,0.004612439773,0.006512238312,1.837922857e-05,0.008412036851,10,0
E21,***建设工程有限公司,0.1887243965,0.2080818653,0.01080912818,0.02123515391,0.06108273959,0.4899780974,0.5038337684,0.0003831024613,0.5176894393,10,0
